id,team_a,team_b,timestamp,status,score_a,score_b,first_goal,stage
1,TUR,ITA,2021-06-11 21:00:00,1,,,,Group A
2,WLS,SUI,2021-06-12 15:00:00,1,,,,Group A
3,DEN,FIN,2021-06-12 18:00:00,1,,,,Group B
4,BEL,RUS,2021-06-12 21:00:00,1,,,,Group B
5,ENG,HRV,2021-06-13 15:00:00,1,,,,Group D
6,AUT,MKD,2021-06-13 18:00:00,1,,,,Group C
7,NLD,UKR,2021-06-13 21:00:00,1,,,,Group C
8,SCT,CZE,2021-06-14 15:00:00,1,,,,Group D
9,POL,SVK,2021-06-14 18:00:00,1,,,,Group E
10,ESP,SWE,2021-06-14 21:00:00,1,,,,Group E
11,HUN,PRT,2021-06-15 18:00:00,1,,,,Group F
12,FRA,GER,2021-06-15 21:00:00,1,,,,Group F
13,FIN,RUS,2021-06-16 15:00:00,1,,,,Group B
14,TUR,WLS,2021-06-16 18:00:00,1,,,,Group A
15,ITA,SUI,2021-06-16 21:00:00,1,,,,Group A
16,UKR,MKD,2021-06-17 15:00:00,1,,,,Group C
17,DEN,BEL,2021-06-17 18:00:00,1,,,,Group B
18,NLD,AUT,2021-06-17 21:00:00,1,,,,Group C
19,SWE,SVK,2021-06-18 15:00:00,1,,,,Group E
20,HRV,CZE,2021-06-18 18:00:00,1,,,,Group D
21,ENG,SCT,2021-06-18 21:00:00,1,,,,Group D
22,HUN,FRA,2021-06-19 15:00:00,1,,,,Group F
23,PRT,GER,2021-06-19 18:00:00,1,,,,Group F
24,ESP,POL,2021-06-19 21:00:00,1,,,,Group E
25,ITA,WLS,2021-06-20 18:00:00,1,,,,Group A
26,SUI,TUR,2021-06-20 18:00:00,1,,,,Group A
27,UKR,AUT,2021-06-21 18:00:00,1,,,,Group C
28,MKD,NLD,2021-06-21 18:00:00,1,,,,Group C
29,FIN,BEL,2021-06-21 21:00:00,1,,,,Group B
30,RUS,DEN,2021-06-21 21:00:00,1,,,,Group B
31,CZE,ENG,2021-06-22 21:00:00,1,,,,Group D
32,HRV,SCT,2021-06-22 21:00:00,1,,,,Group D
33,SWE,POL,2021-06-23 18:00:00,1,,,,Group E
34,SVK,ESP,2021-06-23 18:00:00,1,,,,Group E
35,GER,HUN,2021-06-23 21:00:00,1,,,,Group F
36,PRT,FRA,2021-06-23 21:00:00,1,,,,Group F
37,TBD,TBD,2021-06-26 18:00:00,1,,,,Round of 16
38,TBD,TBD,2021-06-26 21:00:00,1,,,,Round of 16
39,TBD,TBD,2021-06-27 18:00:00,1,,,,Round of 16
40,TBD,TBD,2021-06-27 21:00:00,1,,,,Round of 16
41,TBD,TBD,2021-06-28 18:00:00,1,,,,Round of 16
42,TBD,TBD,2021-06-28 21:00:00,1,,,,Round of 16
43,TBD,TBD,2021-06-29 18:00:00,1,,,,Round of 16
44,TBD,TBD,2021-06-29 21:00:00,1,,,,Round of 16
45,TBD,TBD,2021-07-02 18:00:00,1,,,,Quarter Finals
46,TBD,TBD,2021-07-02 21:00:00,1,,,,Quarter Finals
47,TBD,TBD,2021-07-03 18:00:00,1,,,,Quarter Finals
48,TBD,TBD,2021-07-03 21:00:00,1,,,,Quarter Finals
49,TBD,TBD,2021-07-06 21:00:00,1,,,,Semi Finals
50,TBD,TBD,2021-07-07 21:00:00,1,,,,Semi Finals
51,TBD,TBD,2021-07-11 21:00:00,1,,,,Final
