id,team_a,team_b,stage,starts_at,score_a,score_b,first_goal
1,AUT,FIN,Group A,2025-05-09 14:20:00,,,
2,SUI,CZE,Group B,2025-05-09 14:20:00,,,
3,SWE,SVK,Group A,2025-05-09 18:20:00,,,
4,DEN,USA,Group B,2025-05-09 18:20:00,,,
5,SLO,CAN,Group A,2025-05-10 10:20:00,,,
6,NOR,KAZ,Group B,2025-05-10 10:20:00,,,
7,SWE,AUT,Group A,2025-05-10 14:20:00,,,
8,GER,HUN,Group B,2025-05-10 14:20:00,,,
9,FRA,LAT,Group A,2025-05-10 18:20:00,,,
10,DEN,SUI,Group B,2025-05-10 18:20:00,,,
11,SVK,SLO,Group A,2025-05-11 10:20:00,,,
12,USA,HUN,Group B,2025-05-11 10:20:00,,,
13,LAT,CAN,Group A,2025-05-11 14:20:00,,,
14,GER,KAZ,Group B,2025-05-11 14:20:00,,,
15,FIN,FRA,Group A,2025-05-11 18:20:00,,,
16,NOR,CZE,Group B,2025-05-11 18:20:00,,,
17,AUT,SVK,Group A,2025-05-12 14:20:00,,,
18,USA,SUI,Group B,2025-05-12 14:20:00,,,
19,FIN,SWE,Group A,2025-05-12 18:20:00,,,
20,CZE,DEN,Group B,2025-05-12 18:20:00,,,
21,SLO,LAT,Group A,2025-05-13 14:20:00,,,
22,NOR,GER,Group B,2025-05-13 14:20:00,,,
23,CAN,FRA,Group A,2025-05-13 18:20:00,,,
24,KAZ,HUN,Group B,2025-05-13 18:20:00,,,
25,SVK,FRA,Group A,2025-05-14 14:20:00,,,
26,USA,NOR,Group B,2025-05-14 14:20:00,,,
27,LAT,SWE,Group A,2025-05-14 18:20:00,,,
28,KAZ,DEN,Group B,2025-05-14 18:20:00,,,
29,FIN,SLO,Group A,2025-05-15 14:20:00,,,
30,SUI,GER,Group B,2025-05-15 14:20:00,,,
31,CAN,AUT,Group A,2025-05-15 18:20:00,,,
32,CZE,HUN,Group B,2025-05-15 18:20:00,,,
33,AUT,FRA,Group A,2025-05-16 14:20:00,,,
34,HUN,DEN,Group B,2025-05-16 14:20:00,,,
35,SWE,SLO,Group A,2025-05-16 18:20:00,,,
36,SUI,NOR,Group B,2025-05-16 18:20:00,,,
37,FIN,LAT,Group A,2025-05-17 10:20:00,,,
38,USA,GER,Group B,2025-05-17 10:20:00,,,
39,FRA,SWE,Group A,2025-05-17 14:20:00,,,
40,CZE,KAZ,Group B,2025-05-17 14:20:00,,,
41,CAN,SVK,Group A,2025-05-17 18:20:00,,,
42,DEN,NOR,Group B,2025-05-17 18:20:00,,,
43,SLO,AUT,Group A,2025-05-18 14:20:00,,,
44,KAZ,USA,Group B,2025-05-18 14:20:00,,,
45,SVK,LAT,Group A,2025-05-18 18:20:00,,,
46,HUN,SUI,Group B,2025-05-18 18:20:00,,,
47,FRA,SLO,Group A,2025-05-19 14:20:00,,,
48,GER,CZE,Group B,2025-05-19 14:20:00,,,
49,CAN,FIN,Group A,2025-05-19 18:20:00,,,
50,HUN,NOR,Group B,2025-05-19 18:20:00,,,
51,LAT,AUT,Group A,2025-05-20 10:20:00,,,
52,SUI,KAZ,Group B,2025-05-20 10:20:00,,,
53,SVK,FIN,Group A,2025-05-20 14:20:00,,,
54,CZE,USA,Group B,2025-05-20 14:20:00,,,
55,SWE,CAN,Group A,2025-05-20 18:20:00,,,
56,GER,DEN,Group B,2025-05-20 18:20:00,,,
57,TBD,TBD,Quarter-final,2025-05-22 14:20:00,,,
58,TBD,TBD,Quarter-final,2025-05-22 14:20:00,,,
59,TBD,TBD,Quarter-final,2025-05-22 18:20:00,,,
60,TBD,TBD,Quarter-final,2025-05-22 18:20:00,,,
61,TBD,TBD,Semi-final,2025-05-24 12:20:00,,,
62,TBD,TBD,Semi-final,2025-05-24 16:20:00,,,
63,TBD,TBD,Bronze game,2025-05-25 13:20:00,,,
64,TBD,TBD,Final,2025-05-25 18:20:00,,,
